time_iso8601,forks_cumulative
2023-08-02 00:00:00+00:00,3
2023-08-03 00:00:00+00:00,4
2023-08-04 00:00:00+00:00,5
2023-08-05 00:00:00+00:00,7
2023-08-08 00:00:00+00:00,8
2023-08-11 00:00:00+00:00,9
2023-08-15 00:00:00+00:00,10
2023-08-16 00:00:00+00:00,11
2023-08-20 00:00:00+00:00,12
2023-08-23 00:00:00+00:00,13
2023-08-26 00:00:00+00:00,15
2023-09-05 00:00:00+00:00,16
2023-09-09 00:00:00+00:00,17
2023-09-11 00:00:00+00:00,18
2023-09-17 00:00:00+00:00,19
2023-09-18 00:00:00+00:00,20
2023-09-19 00:00:00+00:00,21
2023-09-20 00:00:00+00:00,22
2023-09-21 00:00:00+00:00,24
2023-09-26 00:00:00+00:00,27
2023-09-27 00:00:00+00:00,28
2023-09-30 00:00:00+00:00,29
2023-10-04 00:00:00+00:00,30
2023-10-09 00:00:00+00:00,31
2023-10-10 00:00:00+00:00,32
2023-10-13 00:00:00+00:00,33
2023-10-14 00:00:00+00:00,34
2023-10-15 00:00:00+00:00,35
2023-10-25 00:00:00+00:00,37
2023-10-30 00:00:00+00:00,38
2023-10-31 00:00:00+00:00,43
2023-11-02 00:00:00+00:00,44
2023-11-03 00:00:00+00:00,45
2023-11-06 00:00:00+00:00,46
2023-11-08 00:00:00+00:00,47
2023-11-09 00:00:00+00:00,48
2023-11-13 00:00:00+00:00,49
2023-11-14 00:00:00+00:00,50
2023-11-16 00:00:00+00:00,51
2023-11-18 00:00:00+00:00,52
2023-11-25 00:00:00+00:00,53
2023-12-01 00:00:00+00:00,54
2023-12-05 00:00:00+00:00,66
2023-12-06 00:00:00+00:00,72
2023-12-07 00:00:00+00:00,105
2023-12-08 00:00:00+00:00,191
2023-12-09 00:00:00+00:00,250
2023-12-10 00:00:00+00:00,335
2023-12-11 00:00:00+00:00,398
2023-12-12 00:00:00+00:00,415
2023-12-13 00:00:00+00:00,423
2023-12-14 00:00:00+00:00,427
2023-12-15 00:00:00+00:00,429
2023-12-16 00:00:00+00:00,433
2023-12-18 00:00:00+00:00,437
2023-12-19 00:00:00+00:00,439
2023-12-20 00:00:00+00:00,445
2023-12-21 00:00:00+00:00,449
2023-12-22 00:00:00+00:00,452
2023-12-23 00:00:00+00:00,454
2023-12-24 00:00:00+00:00,457
2023-12-25 00:00:00+00:00,464
2023-12-26 00:00:00+00:00,465
2023-12-27 00:00:00+00:00,468
2023-12-28 00:00:00+00:00,472
2023-12-29 00:00:00+00:00,473
2023-12-30 00:00:00+00:00,475
2023-12-31 00:00:00+00:00,478
2024-01-02 00:00:00+00:00,480
2024-01-03 00:00:00+00:00,481
2024-01-04 00:00:00+00:00,484
2024-01-05 00:00:00+00:00,488
2024-01-09 00:00:00+00:00,489
2024-01-10 00:00:00+00:00,492
2024-01-12 00:00:00+00:00,493
2024-01-13 00:00:00+00:00,494
2024-01-14 00:00:00+00:00,495
2024-01-15 00:00:00+00:00,496
2024-01-16 00:00:00+00:00,497
